Date,Open,High,Low,Close,Volume,Adjusted Close
1984-05-24,0.0,0.0,0.0,0.0,,0.0
1984-05-25,0.0,0.0,0.0,0.0,,0.0
1984-05-29,0.0,0.0,0.0,0.0,,0.0
1984-05-30,0.0,0.0,0.0,0.0,,0.0
1984-05-31,0.014,0.014,0.014,0.014,,0.0140001456078
1984-06-01,0.0,0.0,0.0,0.0,,0.0
1984-06-04,0.0,0.0,0.0,0.0,,0.0
1984-06-05,0.0,0.0,0.0,0.0,,0.0
1984-06-06,0.0,0.0,0.0,0.0,,0.0
1984-06-07,0.0,0.0,0.0,0.0,,0.0
1984-06-08,0.0,0.0,0.0,0.0,,0.0
1984-06-11,0.0,0.0,0.0,0.0,,0.0
1984-06-12,0.0,0.0,0.0,0.0,,0.0
1984-06-13,0.0,0.0,0.0,0.0,,0.0
1984-06-14,0.0,0.0,0.0,0.0,,0.0
1984-06-15,0.0,0.0,0.0,0.0,,0.0
1984-06-18,0.0,0.0,0.0,0.0,,0.0
1984-06-19,0.0,0.0,0.0,0.0,,0.0
1984-06-20,0.0,0.0,0.0,0.0,,0.0
1984-06-21,0.0,0.0,0.0,0.0,,0.0
1984-06-22,0.0,0.0,0.0,0.0,,0.0
1984-06-25,0.0,0.0,0.0,0.0,,0.0
1984-06-26,0.0,0.0,0.0,0.0,,0.0
1984-06-27,0.0,0.0,0.0,0.0,,0.0
1984-06-28,0.0,0.0,0.0,0.0,,0.0
1984-06-29,-0.0808678500986,-0.0808678500986,-0.0808678500986,-0.0808678500986,,-0.0808680421187
1984-07-02,0.0,0.0,0.0,0.0,,0.0
1984-07-03,0.0,0.0,0.0,0.0,,0.0
1984-07-05,0.0,0.0,0.0,0.0,,0.0
1984-07-06,0.0,0.0,0.0,0.0,,0.0
1984-07-09,0.0,0.0,0.0,0.0,,0.0
1984-07-10,0.0,0.0,0.0,0.0,,0.0
1984-07-11,0.0,0.0,0.0,0.0,,0.0
1984-07-12,0.0,0.0,0.0,0.0,,0.0
1984-07-13,0.0,0.0,0.0,0.0,,0.0
1984-07-16,0.0,0.0,0.0,0.0,,0.0
1984-07-17,0.0,0.0,0.0,0.0,,0.0
1984-07-18,0.0,0.0,0.0,0.0,,0.0
1984-07-19,0.0,0.0,0.0,0.0,,0.0
